No. NF;DATA EMISSAO;VALOR IPI;NOME ARQUIVO XML
NF 65841;2015-05-18T01:12:56-03:00;0;43150507526557004016550010000658411728035339-old.xml
NF 65841;2015-05-18T01:12:56-03:00;0;43150507526557004016550010000658411728035339-old.xml
NF 25329;2015-05-12T10:49:09-03:00;0;43150507526557003982550010000253291597187435-old.xml
NF 25329;2015-05-12T10:49:09-03:00;0;43150507526557003982550010000253291597187435-old.xml
NF 25329;2015-05-12T10:49:09-03:00;0;43150507526557003982550010000253291597187435-old.xml
NF 26021;2015-05-26T08:22:01-03:00;0;43150507526557003982550010000260211538248032-old.xml
NF 26021;2015-05-26T08:22:01-03:00;0;43150507526557003982550010000260211538248032-old.xml
NF 26021;2015-05-26T08:22:01-03:00;0;43150507526557003982550010000260211538248032-old.xml
NF 65291;2015-05-12T06:01:36-03:00;0;43150507526557004016550010000652911876244440-old.xml
NF 25205;2015-05-09T10:25:03-03:00;0;43150507526557003982550010000252051584309858-old.xml
NF 25205;2015-05-09T10:25:03-03:00;0;43150507526557003982550010000252051584309858-old.xml
NF 25205;2015-05-09T10:25:03-03:00;0;43150507526557003982550010000252051584309858-old.xml
NF 64714;2015-05-06T01:55:03-03:00;0;43150507526557004016550010000647141521251353-old.xml
NF 64714;2015-05-06T01:55:03-03:00;0;43150507526557004016550010000647141521251353-old.xml
NF 65529;2015-05-14T06:18:57-03:00;0;43150507526557004016550010000655291600286873-old.xml
NF 65529;2015-05-14T06:18:57-03:00;0;43150507526557004016550010000655291600286873-old.xml
NF 65954;2015-05-19T00:54:59-03:00;0;43150507526557004016550010000659541189728400-old.xml
NF 65954;2015-05-19T00:54:59-03:00;0;43150507526557004016550010000659541189728400-old.xml
NF 65954;2015-05-19T00:54:59-03:00;0;43150507526557004016550010000659541189728400-old.xml
NF 25196;2015-05-09T08:57:52-03:00;0;43150507526557003982550010000251961030060444-old.xml
NF 25196;2015-05-09T08:57:52-03:00;0;43150507526557003982550010000251961030060444-old.xml
NF 25196;2015-05-09T08:57:52-03:00;0;43150507526557003982550010000251961030060444-old.xml
